head	relation	tail
894	1	470
32	2	973
882	0	439
958	3	619
609	5	610
758	3	124
770	1	149
1000	3	719
785	0	189
287	5	506
851	1	371
811	0	258
95	4	96
559	4	560
784	1	188
354	4	355
598	4	599
838	3	336
910	1	275
41	2	862
747	1	88
930	3	548
910	3	505
0	2	951
835	0	324
893	0	333
665	4	666
23	2	985
333	4	467
7	2	820
886	0	445
632	4	633
770	0	144
135	4	138
994	1	706
25	2	873
33	2	893
73	4	74
215	4	216
874	3	423
15	2	910
996	1	708
484	4	485
177	4	178
862	0	396
966	1	639
846	0	732
6	2	834
975	1	664
9	2	881
399	4	402
941	0	572
14	2	866
379	5	380
439	4	440
222	5	412
585	4	588
696	4	697
276	5	277
18	2	791
982	3	679
187	5	188
775	1	166
258	4	259
212	5	213
7	2	823
887	0	450
856	1	387
992	0	698
553	5	554
301	5	302
146	5	147
919	0	519
82	5	83
843	1	350
836	1	330
1003	0	724
865	1	401
19	2	858
5	2	999
854	0	375
682	4	684
939	1	570
897	0	476
824	3	298
60	5	61
391	4	392
794	1	217
458	5	459
828	0	306
768	3	143
883	0	434
169	4	170
24	2	915
160	4	161
774	3	161
231	5	232
820	0	285
751	0	104
145	4	146
994	0	704
694	4	695
449	4	443
657	4	658
94	5	95
989	0	694
863	1	407
915	3	512
971	0	650
890	1	460
899	0	358
810	1	258
789	0	202
147	4	148
840	1	342
782	1	183
390	5	391
954	1	610
950	1	600
877	3	427
784	0	185
35	2	788
238	4	245
32	2	974
326	5	327
904	1	496
918	0	516
952	0	603
859	0	391
790	3	206
532	5	533
394	4	395
40	2	876
814	0	270
50	4	128
12	2	794
791	3	209
121	5	50
939	0	568
849	3	114
230	4	231
454	4	464
40	2	812
293	5	294
950	0	597
901	3	485
472	5	473
844	1	353
114	5	365
31	2	773
955	0	613
884	0	442
937	1	567
463	4	464
20	2	904
45	2	845
153	5	154
920	1	523
281	4	282
846	3	356
819	1	285
448	5	449
622	4	624
985	0	682
854	1	377
29	2	828
573	4	574
503	5	186
788	0	197
262	5	263
756	3	116
967	1	642
817	1	280
945	3	586
356	5	358
575	4	576
739	1	72
500	4	501
236	5	237
964	0	632
977	3	654
839	3	338
909	0	504
444	4	446
707	5	708
691	5	694
108	5	109
736	0	61
895	0	470
13	2	897
777	0	168
81	4	82
225	4	226
42	2	766
781	3	180
959	0	620
1003	3	725
321	4	427
14	2	770
564	5	565
842	0	345
759	1	48
946	0	585
792	1	213
724	4	725
577	4	579
899	3	481
906	0	500
603	4	604
748	3	90
888	3	455
740	0	68
133	4	134
943	0	578
803	0	240
